Titulo,Genero,Online,Local,Combo,info1,info2,info3,info4
Embr,Action Games,4,Not available,Not available,Drop-In/Drop-Out Co-Op,,,
Escape First 2,Puzzle Game,6,Not available,Not available,6 Players in Co-Op,,,
Escape First 3,Puzzle Game,6,Not available,Not available,6 Players in Co-Op,,,
Escape First Alchemist,Puzzle Game,4,Not available,Not available,,,,
Escape First,Puzzle Game,6,Not available,Not available,6 Players in Co-Op,,,
Escape Game - FORT BOYARD 2022,Minigames,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Escape Game - FORT BOYARD 2022,Minigames,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Escape Game - Fort Boyard,Minigames,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Evasion,FPS,4,Not available,Not available,,,,
EVE: Valkyrie,Flight,5,Not available,Not available,5 Players in Co-Op,,,
Evil Dead: The Game,Third Person Shooter game,4,Not available,Not available,,,,
Evil Dead: The Game,Third Person Shooter,4,Not available,Not available,,,
Evolve,FPS,4,Not available,Not available,,,,
Exoprimal,Third Person Shooter game,5,Not available,Not available,5 Players in Co-Op,,,
Exoprimal,Third Person Shooter,5,Not available,Not available,5 Players in Co-Op,,
Extreme Exorcism,Action Games,Not available,4,Not available,,,,
Fallout 76,First Person Shooter,4,Not available,Not available,,,
Fallout 76,FPS,4,Not available,Not available,,,,
Farm Together,Simulation game,16,Not available,Not available,16 Players in Co-Op,,,
Farming Simulator 15,Simulation game,16,Not available,Not available,16 Players in Co-Op,Supports LAN or System-Link Play,,
Farming Simulator 17,Simulation game,6,Not available,Not available,6 Players in Co-Op,,,
Farming Simulator 19,Simulation game,6,Not available,Not available,6 Players in Co-Op,,,
Farming Simulator 22,Simulation game,6,Not available,Not available,6 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
Farming Simulator 22,Simulation,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Farworld Pioneers,Sandbox game,32,Not available,Not available,32 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
Farworld Pioneers,Sandbox,32,Not available,Not available,32 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Fat Princess Adventures,Action RPG,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Feather,Adventure,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
FIFA 15,Sports game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Filthy Animals | Heist Simulator,Action Games,4,4,Not available,,,,
Final Fantasy 14 Online,MMO,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Final Fantasy 14 Online,MMO,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
Final Fantasy 15,RPG Game,4,Not available,Not available,,,,
Final Fantasy Crystal Chronicles Remastered Edition,Action RPG,4,Not available,Not available,,,,
Firefighting Simulator - The Squad,Simulation game,4,Not available,Not available,,,,
Firefighting Simulator - The Squad,Simulation,4,Not available,Not available,,,
Firewall Ultra,First Person Shooter,4,Not available,Not available,,,
Firewall Zero Hour,FPS,4,Not available,Not available,,,,
Flat Heroes,Action Games,Not available,4,Not available,Drop-In/Drop-Out Co-Op,,,
Flight of Light,Racing game,Not available,4,Not available,Supports Split-Screen,,,
Flock,Sandbox game,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Flock,Sandbox,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
FORCED,Action RPG,4,4,4,Supports Drop-In/Drop-Out Co-Op,,,
Fort Boyard,Minigames,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Fort Triumph,Turn Based Strategy game,Not available,4,Not available,,,,
Fortnite: Save the World,Third Person Shooter game,4,Not available,Not available,,,,
Fossil Hunters,Action/Adventure game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Freaky Awesome,Action Games,4,4,Not available,Drop-In/Drop-Out Co-Op,,,
Fueled Up,Action Games,4,4,4,,,,
Full Mojo Rampage,Action RPG,4,2,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Fully Loaded,Action Games,4,4,Not available,,,,
Galacide,Puzzle Game,Not available,4,Not available,,,,
Gang Beasts,Action Games,4,4,Not available,,,,
Gangs of Sherwood,Action RPG,4,Not available,Not available,,,
Gatewalkers,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Gauntlet,Action RPG,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Gefragt Gejagt - Das Spiel,Puzzle Game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Generation Zero,FPS,4,Not available,Not available,,,,
Genetic Disaster,Action Games,Not available,4,Not available,,,,
Genshin Impact,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Geometry Wars 3: Dimensions,Twin Stick Shooter game,Not available,4,Not available,,,,
Ghost of Tsushima DIRECTOR'S CUT,Action/Adventure game,4,Not available,Not available,,,,
Ghost of Tsushima DIRECTOR'S CUT,Action/Adventure,4,Not available,Not available,,,
Ghost of Tsushima,Action/Adventure game,4,Not available,Not available,,,,
Ghost of Tsushima: Legends,Action/Adventure game,4,Not available,Not available,,,,
Ghost of Tsushima: Legends,Action/Adventure,4,Not available,Not available,,,
Ghostbusters,Action RPG,Not available,4,Not available,,,,
Ghostbusters: Rise of the Ghost Lord,First Person Shooter,4,Not available,Not available,,,
Ghostbusters: Spirits Unleashed,First Person Shooter,4,Not available,Not available,,,
Ghostbusters: Spirits Unleashed,FPS,4,Not available,Not available,,,,
Gigantosaurus The Game,Adventure,Not available,4,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,,
Glitch Busters: Stuck On You,Third Person Shooter game,4,Not available,Not available,,,,
Gloomhaven,Tactical RPG,4,Not available,Not available,,,
Gloomhaven,Tactical RPG,4,Not available,Not available,,,,
Goat Simulator 3,Sandbox,4,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Goat Simulator,Simulation game,Not available,4,Not available,Supports Split-Screen,,,
Goat Simulator: The GOATY,Simulation game,Not available,4,Not available,Supports Split-Screen,,,
GOD EATER 2: Rage Burst,Action RPG,4,Not available,Not available,,,,
